PubMed ID,allele,order ID,EMMA ID,comment
28488815,Pdpn<tm1a(EUCOMM)Wtsi>,5395,,Janet Nov 16
27550173,Lgals3<tm1a(EUCOMM)Wtsi>,5018,,Janet Nov 16
26337870,Lgals3<tm1a(EUCOMM)Wtsi>,5018,,Janet Nov 16
25713362,Slc40a1<tm1a(EUCOMM)Hmgu>,3905,,Janet Nov 16
27083047,Fgf22<tm1a(EUCOMM)Hmgu>,5733,,Janet Nov 16
25056906,Xiap<tm1a(EUCOMM)Hmgu>,3095,,Confirmed by author based on Paolas search
25422446,Cisd2<tm1a(EUCOMM)Wtsi>,2995,,Confirmed by author based on Paolas search
26223655,Mb21d1<tm1a(EUCOMM)Hmgu>,4877,,Confirmed by author based on Paolas search
28031293,Cib2<tm1a(EUCOMM)Wtsi>,5539,,Confirmed by author based on Paolas search
27013243,Setdb1<tm1a(EUCOMM)Wtsi>,2125,,Confirmed by author based on Paolas search
24646517,Brpf1<tm1a(EUCOMM)Wtsi>,2315,,Confirmed by author based on Paolas search
26579598,Plxnb2<tm1a(EUCOMM)Wtsi>,3729,,Confirmed by author based on Paolas search
24284630,Mb21d1<tm1a(EUCOMM)Hmgu>,3137,,Confirmed by author based on Paolas search
26305884,Ccnyl1<tm1a(EUCOMM)Wtsi>,3754,,Confirmed by author based on Paolas search
26365183,Tcf7<tm1a(EUCOMM)Wtsi>,3194,,Confirmed by author based on Paolas search
29113992,Ruvbl1<tm1a(EUCOMM)Wtsi>,4424,,Confirmed by author based on Paolas search
25869670,B9d1<tm1a(EUCOMM)Wtsi>,2085,,Confirmed by author based on Paolas search
21763481,B9d1<tm1a(EUCOMM)Wtsi>,2085,,Confirmed by author based on Paolas search
27177310,Clk1<tm1a(EUCOMM)Wtsi>,2172,,Confirmed by author based on Paolas search
29118104,Ric8b<tm1a(EUCOMM)Hmgu>,3452,,Confirmed by author based on Paolas search
29401485,Rbfox3<tm1a(EUCOMM)Hmgu>,4813,,Confirmed by author based on Paolas search
28018990,Tcf7<tm1a(EUCOMM)Wtsi>,3194,,Confirmed by author based on Paolas search
26828201,Mcub<tm1a(KOMP)Mbp>,5397,,MG Nov 18 from Jo's 12 w/o req ID
27826253,Fgf10<tm1c(EUCOMM)Wtsi>,6162,,MG Nov 18 from Jo's 12 w/o req ID
28089251,Mapkbp1<tm1a(EUCOMM)Hmgu>,5183,,MG Nov 18 from Jo's 12 w/o req ID
30409431,Capn1<tm1Dgen>,1821,,Discovered by chance
30217896,Il22ra1<tm1a(EUCOMM)Wtsi>,9094,,Jo_Feb_2019
30200414,Tcf7l2<tm1a(EUCOMM)Wtsi>,4511,,Jo_Feb_2019
30190432,Camsap3<tm1a(EUCOMM)Wtsi>,6199,,Jo_Feb_2019
30126926,Elac2<tm1a(EUCOMM)Wtsi>,6373,,Jo_Feb_2019
30184499,Prmt5<tm2a(EUCOMM)Wtsi>,2518,,Jo_Feb_2019
30204862,Pls3<tm1a(EUCOMM)Wtsi>,5447,,Jo_Feb_2019
30048615,Fto<tm1a(EUCOMM)Wtsi>,5917,,Jo_Feb_2019
30321814,Prmt1<tm1a(EUCOMM)Wtsi>,2974,,Jo_Feb_2019
30266742,Mecr<tm1a(EUCOMM)Wtsi>,2736,,Jo_Feb_2019
30131424,Irf1<tm1a(EUCOMM)Wtsi>,6034,,Jo_Feb_2019
30333090,Tff1<tm1a(EUCOMM)Wtsi>,5892,,Jo_Feb_2019
30309881,Rbm47<tm1a(EUCOMM)Wtsi>,6875,,Jo_Feb_2019
30239752,Nhlrc2<tm1a(KOMP)Wtsi>,6006,,Jo_Feb_2019
30043283,Gpr35<tm1b(EUCOMM)Hmgu>,6908,,Jo_Feb_2019
30374077,Ido2<tm3a(EUCOMM)Wtsi>,4636,,Jo_Feb_2019
30553776,Smc3<tm1a(EUCOMM)Wtsi>,4719,,Jo_Feb_2019
30517863,Hdac3<tm1a(EUCOMM)Wtsi>,3883,,Jo_Feb_2019
30487795,Commd10<tm1a(EUCOMM)Wtsi>,4342,,Jo_Feb_2019
30626697,Cenpj<tm1a(EUCOMM)Wtsi>,4712,,Jo_Feb_2019
30662006,Gba2<tm1a(EUCOMM)Wtsi>,4704,,Jo_Feb_2019
30538132,Usp20<tm1a(EUCOMM)Hmgu>,5437,,Jo_Feb_2019
30664619,Cyfip1<tm2a(EUCOMM)Wtsi>,5869,,Jo_Feb_2019
30374053,Tmem9<tm1a(EUCOMM)Wtsi>,6038,,Jo_Feb_2019
30679179,Ido1<tm1a(EUCOMM)Wtsi>,3376,,Jo_Feb_2019
30504773,Prmt1<tm1a(EUCOMM)Wtsi>,2033,,Jo_Feb_2019
30653406,Prmt1<tm1a(EUCOMM)Wtsi>,2033,,Jo_Feb_2019
30639577,Usp44<tm1b(EUCOMM)Hmgu>,7307,,Jo_Feb_2019
30382149,Arl4d<tm1a(EUCOMM)Wtsi>,2795,,Jo_Feb_2019
30455454,Setd5<tm1a(EUCOMM)Wtsi>,5757,,Jo_Feb_2019
30679680,Myo10<tm2(KOMP)Wtsi>,5566,,Jo_Feb_2019
30707697,Hbs1l<tm1a(KOMP)Wtsi>,6901,,Jo_Feb_2019
30665704,Gas2l2<tm1a(KOMP)Wtsi>,5916,,Jo_Feb_2019
30598549,Daam2<tm1a(KOMP)Wtsi>,7262,,Jo_Feb_2019
30293785,Zmynd8<tm1a(EUCOMM)Wtsi>,7220,,Jo_Feb_2019
30561764,Twf1<tm1a(EUCOMM)Wtsi>,6777,,Jo_Feb_2019
30710088,Dusp4<tm1a(EUCOMM)Wtsi>,6884,,Jo_Feb_2019
30815534,Optn<tm1a(EUCOMM)Wtsi>,3588,,Jo_Mar_19
30735494,Dmxl2<tm1a(EUCOMM)Wtsi>,3816,,Jo_Mar_19
30831381,Whrn<tm1a(EUCOMM)Wtsi>,5403,,Jo_Mar_19
30840666,Fbxo7<tm1a(EUCOMM)Wtsi>,9157,,Jo_Mar_19
30840666,Fbxo7<tm1c(EUCOMM)Wtsi>,9158,,Jo_Mar_19
30811977,Sh3bp4<tm1a(EUCOMM)Wtsi>,5898,,Jo_Mar_19
30878582,Capzb<tm1a(EUCOMM)Wtsi>,5573,,Jo_Mar_19
30807788,Ide<tm1a(EUCOMM)Wtsi>,5991,,Jo_Mar_19
30452905,Ptch1<tm1Zim>,4196,,R.Matteoni_Apr_19
26935062,Ptch1<tm1Zim>,4196,,R.Matteoni_Apr_19
28749080,H6pd<tm1a(EUCOMM)Wtsi>,2132,,discovered
30804003,Gjb6<tm1Kwi>,9210,,CNR_Apr_19
30181354,Gjb2<tm1Ugds>,4202,,CNR_Apr_19
30181354,Gjb6<tm1.1Fama>,7585,,CNR_Apr_19
30181354,Gjb6<tm1Kwi>,9210,,CNR_Apr_19
30199819,Gjb2<tm1Ugds>,4202,,CNR_Apr_19
30199819,Gjb6<tm1Kwi>,9210,,CNR_Apr_19
28578918,Gjb6<tm1.1Fama>,7585,,CNR_Apr_19
28578918,Gjb6<tm1Kwi>,9210,,CNR_Apr_19
29234270,Gjb6<tm1Kwi>,9210,,CNR_Apr_19
24144139,Gjb6<tm1.1Fama>,7585,,CNR_Apr_19
22891314,Gjb6<tm1Kwi>,9210,,CNR_Apr_19
19047647,Gjb6<tm1Kwi>,9210,,CNR_Apr_19
29409032,Pde2a<tm1Dgen>,3692,,R.Matteoni_Nov_19
25852085,Pde2a<tm1Dgen>,3692,,R.Matteoni_Nov_19
32015231,Tnfrsf9<tm1a(EUCOMM)Wtsi>,8559,,FS
32908139,Cmtm6<tm1a(EUCOMM)Wtsi>,5775,,FS_upon_user_request
33346030,Arid2<tm1a(EUCOMM)Wtsi>,6480,,spotted
32841098,Rlbp1<tm1a(EUCOMM)Hmgu>,6465,,spotted_by_MR
33410914,Gjd2<tm4Kwi>,6374,,MR_Feb_21
27058611,Nr1d2<tm1Dgen>,5408,,spotted_by_Raffaele
21750680,Smoc1<tm1a(EUCOMM)Wtsi>,3494,,spotted_by_Raffaele
30442762,Lztr1<tm1a(EUCOMM)Wtsi>,6660,,spotted_by_Raffaele
23283079,Tmem67<tm1Dgen>,10330,,RM_Apr21+dummy_request
24764192,Rab18<Gt(EUCE0233a03)Hmgu>,10331,,RM_Apr21+dummy_request
