Gene_symbol,Allele_symbol,Reference,PMID
Ifi27,Ifi27<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ifitm6,Ifitm6<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ifnar1,Ifnar1<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ifnlr1,Ifnlr1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ift140,Ift140<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Il1r2,Il1r2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Il23r,Il23r<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Il27,Il27<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Irak1,Irak1<tm1b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Irf5,Irf5<tm1e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Izumo1r,Izumo1r<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Josd1,Josd1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Kat2b,Kat2b<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Kcnh4,Kcnh4<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Kera,Kera<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Kif13b,Kif13b<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Kif18b,Kif18b<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Kif1bp,Kif1bp<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Kif24,Kif24<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Kif3b,Kif3b<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Klc2,Klc2<tm1e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Klf17,Klf17<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Klhl18,Klhl18<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Klhl30,Klhl30<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Klk5,Klk5<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Klk6,Klk6<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Klrb1a,Klrb1a<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Krt31,Krt31<tm1e(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Krt7,Krt7<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Krt83,Krt83<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
L3mbtl2,L3mbtl2<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Lars,Lars<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Lce1m,Lce1m<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Lce3c,Lce3c<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ldhb,Ldhb<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ldlrad4,Ldlrad4<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Leo1,Leo1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Leprot,Leprot<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
LmnaG609G,LmnaG609G,Abeler-Dörner et al. 2020,PMID: 31844327
Lonrf3,Lonrf3<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Lpxn,Lpxn<tm1b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Lrmp,Lrmp<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Lrrc23,Lrrc23<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Lrrc71,Lrrc71<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Lrrc8d,Lrrc8d<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Lyplal1,Lyplal1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Lyrm9,Lyrm9<tm1a(KOMP)Mbp>,Abeler-Dörner et al. 2020,PMID: 31844327
Macrod1,Macrod1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mamstr,Mamstr<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mast2,Mast2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mau2,Mau2<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mbd1,Mbd1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mbl2,Mbl2<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mcf2l,Mcf2l<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Med22,Med22<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Med23,Med23<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Medag,Medag<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Metrnl,Metrnl<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mettl24,Mettl24<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mgat4c,Mgat4c<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mir122,Mir122<(tm1)Brd>,Abeler-Dörner et al. 2020,PMID: 31844327
Mir210,Mir210<(tm1)Brd>,Abeler-Dörner et al. 2020,PMID: 31844327
Mir211,Mir211<(tm1)Brd>,Abeler-Dörner et al. 2020,PMID: 31844327
Mir32,Mir32<(tm1)Brd>,Abeler-Dörner et al. 2020,PMID: 31844327
Mir342,Mir342<(tm1)Brd>,Abeler-Dörner et al. 2020,PMID: 31844327
Mir96,Mir96<tm2.2(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mkrn2,Mkrn2<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mkrn2,Mkrn2<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mospd1,Mospd1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mpg,Mpg<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mrm1,Mrm1<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mroh4,Mroh4<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mroh9,Mroh9<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mrps21,Mrps21<tm1e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mrps5,Mrps5<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Mybphl,Mybphl<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Myh7b,Myh7b<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Myo10,Myo10<tm2(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Myo9a,Myo9a<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
N6amt2,N6amt2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nacc2,Nacc2<tm2b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nadk2,Nadk2<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nat10,Nat10<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ncf2,Ncf2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ndufb8,Ndufb8<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nebl,Nebl<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nek3,Nek3<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nek9,Nek9<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nelfe,Nelfe<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nfkbil1,Nfkbil1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nhlrc2,Nhlrc2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nipsnap3a,Nipsnap3a<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nme4,Nme4<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nmrk1,Nmrk1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Npat,Npat<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nrbp1,Nrbp1<tm3b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nrde2,Nrde2<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nudt12,Nudt12<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nup85,Nup85<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nutm2,Nutm2<tm2b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Nxn,Nxn<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Oaf,Oaf<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Oog2,Oog2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Orc1,Orc1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Os9,Os9<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Osbpl3,Osbpl3<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Otud7b,Otud7b<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pam16,Pam16<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pced1a,Pced1a<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pclaf,Pclaf<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pdcd2,Pdcd2<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pdia4,Pdia4<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pdk3,Pdk3<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pdzk1,Pdzk1<tm2b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pepd,Pepd<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pgap2,Pgap2<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pigf,Pigf<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pigl,Pigl<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pitrm1,Pitrm1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pitx1,Pitx1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pla2g6,Pla2g6<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pld3,Pld3<tm1e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Plet1,Plet1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Plscr2,Plscr2<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Plxnb3,Plxnb3<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Polb,Polb<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pold3,Pold3<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Polr3f,Polr3f<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Polr3g,Polr3g<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ppil3,Ppil3<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Prame,Prame<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Prrc2b,Prrc2b<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Prrg2,Prrg2<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Prrt2,Prrt2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Prss52,Prss52<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Psph,Psph<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Pth,Pth<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pth1r,Pth1r<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Ptprd,Ptprd<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pwp1,Pwp1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Pycr2,Pycr2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rab17,Rab17<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rab21,Rab21<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Raph1,Raph1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rbak,Rbak<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rbm14,Rbm14<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rbm33,Rbm33<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rbm47,Rbm47<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rbmx,Rbmx<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Reg3d,Reg3d<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Repin1,Repin1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rida,Rida<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rimbp2,Rimbp2<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rnasek,Rnasek<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rnf10,Rnf10<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rnf125,Rnf125<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rnf138,Rnf138<tm1b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Rnf157,Rnf157<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rpia,Rpia<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rspo4,Rspo4<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rundc1,Rundc1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Rwdd1,Rwdd1<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sap130,Sap130<tm1a(KOMP)Mbp>,Abeler-Dörner et al. 2020,PMID: 31844327
Scaf11,Scaf11<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Selenow,Selenow<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sep-10,Sept10<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Serinc3,Serinc3<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Setd5,Setd5<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sfxn3,Sfxn3<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sgms1,Sgms1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sgsm1,Sgsm1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sh3bgrl3,Sh3bgrl3<tm2b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sh3bp4,Sh3bp4<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sh3pxd2a,Sh3pxd2a<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sik3,Sik3<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Slamf9,Slamf9<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Slc16a4,Slc16a4<tm2e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Slc25a20,Slc25a20<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Slc25a28,Slc25a28<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Slc38a2,Slc38a2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Slc5a7,Slc5a7<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Slc9a3r2,Slc9a3r2<tm2a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Slitrk4,Slitrk4<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Slu7,Slu7<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Slx4ip,Slx4ip<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Smg9,Smg9<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Smpd4,Smpd4<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Snx31,Snx31<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Snx8,Snx8<tm2a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Spata25,Spata25<tm1(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Spink14,Spink14<tm1e(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sqle,Sqle<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Srsf7,Srsf7<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ssr2,Ssr2<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Stard8,Stard8<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Stau2,Stau2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Stxbp4,Stxbp4<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Sult1c1,Sult1c1<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Supt3,Supt3<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Supt5,Supt5<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tbc1d22a,Tbc1d22a<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tceal5,Tceal5<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tcf7l2,Tcf7l2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tchp,Tchp<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tcp11,Tcp11<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tctex1d2,Tctex1d2<tm1e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tead3,Tead3<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tent5c,Tent5c<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tet1,Tet1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tex38,Tex38<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tgfb1i1,Tgfb1i1<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tgm6,Tgm6<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Timeless,Timeless<tm1b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Timmdc1,Timmdc1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmc3,Tmc3<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmem110,Tmem110<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmem126a,Tmem126a<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmem127,Tmem127<tm1(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmem18,Tmem18<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmem241,Tmem241<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmem254b,Tmem254b<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmem30a,Tmem30a<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmem37,Tmem37<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tmem42,Tmem42<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tomm20l,Tomm20l<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Traf2,Traf2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Traf6,Traf6<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Trappc10,Trappc10<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Trappc9,Trappc9<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Trem1,Trem1<tm1(KOMP)Vlcg>,Abeler-Dörner et al. 2020,PMID: 31844327
Trim21,Trim21<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Trim25,Trim25<tm2b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Trim56,Trim56<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Trim65,Trim65<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Trmt2a,Trmt2a<tm2b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Trp53rkb,Trp53rkb<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Trub2,Trub2<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tuba3a,Tuba3a<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Tuft1,Tuft1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ube2d1,Ube2d1<tm3e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ubxn10,Ubxn10<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Uevld,Uevld<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Umodl1,Umodl1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Uri1,Uri1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Usp11,Usp11<tm1(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Usp20,Usp20<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Usp30,Usp30<tm2b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Usp37,Usp37<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Usp5,Usp5<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Vamp3,Vamp3<tm2b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Vps13a,Vps13a<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Vps33b,Vps33b<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Vps51,Vps51<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Vps72,Vps72<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Vwa3a,Vwa3a<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
